TrackingTiming,PointMatchingTiming,TrackedPoints,TotalPoints,MissingPoints,CostMatrixTiming,EstimationDisplacementTiming,EstimationExtrapolationTiming,EstimationSpringTiming
2.3244,5.5695,192,192,0,4.4774,0.0005,0.0007,0.0107
2.383,5.836,192,192,0,4.7234,0.0005,0.0005,0.0104
2.3032,5.5121,192,192,0,4.4303,0.0007,0.0005,0.0097
2.3336,5.5651,192,192,0,4.4705,0.0007,0.0005,0.0099
2.8259,5.5198,192,192,0,4.4479,0.0005,0.0005,0.0097
2.4179,5.5142,192,192,0,4.4433,0.0007,0.0005,0.0094
2.3185,5.5559,192,192,0,4.4676,0.0005,0.0005,0.0099
2.2755,5.5597,192,192,0,4.4812,0.0005,0.0007,0.0094
2.2765,5.5428,192,192,0,4.4633,0.0005,0.0007,0.0092
2.4501,5.8651,192,192,0,4.5636,0.0007,0.0005,0.0112
2.6992,5.5751,192,192,0,4.4827,0.0005,0.0007,0.014
2.3841,5.5971,192,192,0,4.4986,0.0005,0.0005,0.0094
2.807,5.5777,192,192,0,4.4692,0.001,0.001,0.0151
2.2817,5.4891,192,192,0,4.4216,0.0005,0.0005,0.0094
2.3175,5.5446,192,192,0,4.4664,0.0005,0.0007,0.0097
2.3216,5.5628,192,192,0,4.4779,0.0005,0.0007,0.0097
2.977,5.7743,192,192,0,4.644,0.0007,0.0005,0.0097
2.2858,5.4991,192,192,0,4.4351,0.0005,0.0005,0.0115
2.3185,5.5585,192,192,0,4.4723,0.0005,0.0007,0.0097
2.297,5.5495,192,192,0,4.4682,0.0005,0.001,0.0117
2.3393,5.548,192,192,0,4.4689,0.0005,0.0007,0.0092
2.285,5.5155,192,192,0,4.4339,0.0007,0.0005,0.0092
2.3085,5.5224,192,192,0,4.4474,0.0007,0.0005,0.0102
2.3285,5.5019,192,192,0,4.429,0.0007,0.0005,0.0099
4.1512,6.7025,192,192,0,5.5019,0.0005,0.0005,0.0104
3.0125,5.7676,192,192,0,4.6817,0.0005,0.0007,0.0099
2.3605,5.7182,192,192,0,4.5915,0.0005,0.0007,0.0089
2.2896,5.5603,192,192,0,4.4769,0.0005,0.0007,0.0097
2.3027,5.5147,192,192,0,4.4431,0.0007,0.0005,0.0094
2.3111,5.5003,192,192,0,4.4328,0.0005,0.0005,0.0099
2.3198,5.496,192,192,0,4.4239,0.001,0.0005,0.0097
2.7957,8.3028,192,192,0,6.4798,0.001,0.001,0.0158
2.2893,5.5354,192,192,0,4.4582,0.0007,0.0005,0.0102
2.8106,5.5124,192,192,0,4.439,0.0005,0.0007,0.011
2.2696,5.5505,192,192,0,4.474,0.0005,0.0005,0.0094
2.2963,5.5577,192,192,0,4.4602,0.0005,0.0007,0.0097
2.2691,5.54,192,192,0,4.4643,0.0007,0.0007,0.0092
2.2922,5.9348,192,192,0,4.7231,0.0007,0.0007,0.013
2.3331,5.5139,192,192,0,4.4428,0.0005,0.0007,0.0099
3.4672,6.9035,192,192,0,5.8122,0.0005,0.0007,0.0102
2.6134,5.5398,192,192,0,4.4607,0.0007,0.0005,0.0092
2.3377,5.5784,192,192,0,4.4518,0.0007,0.0005,0.0099
2.2829,5.5367,192,192,0,4.4554,0.0007,0.0005,0.0094
2.3137,5.5067,192,192,0,4.4385,0.0005,0.0007,0.0099
2.2917,5.5562,192,192,0,4.4699,0.0005,0.0007,0.0092
2.2617,5.5603,192,192,0,4.4723,0.0007,0.0005,0.0099
2.2709,5.6117,192,192,0,4.5178,0.0005,0.0005,0.0099
2.3329,5.5073,192,192,0,4.4351,0.0005,0.0005,0.0094
2.328,5.5142,192,192,0,4.4428,0.0005,0.0007,0.0104
2.3188,5.5362,192,192,0,4.451,0.0007,0.0007,0.0094
2.4173,5.6419,192,192,0,4.4648,0.0005,0.0007,0.0094
2.3004,5.5172,192,192,0,4.4385,0.0005,0.0007,0.0112
2.2742,5.5741,192,192,0,4.4886,0.0005,0.0005,0.0089
2.3165,5.5405,192,192,0,4.4643,0.0005,0.0007,0.0097
2.3352,5.6391,192,192,0,4.5421,0.0007,0.0007,0.0102
2.5686,5.6219,192,192,0,4.4469,0.0007,0.0005,0.0102
