Run,Model,Location,Intensity,Direction,Value,Occlusions
3,Baseline,center,Light,xyz-,0.011442, 2 
4,Displacement,center,Light,xyz-,0.016020, 2 
4,Extrapolation,center,Light,xyz-,0.025590, 2 
4,Spring,center,Light,xyz-,0.057711, 2 
4,Baseline,center,Light,xyz-,0.019724, 2 
5,Displacement,center,Light,xyz-,0.024290, 2 
5,Extrapolation,center,Light,xyz-,0.030258, 2 
5,Spring,center,Light,xyz-,0.065267, 2 
5,Baseline,center,Light,xyz-,0.035504, 2 
6,Displacement,center,Light,xyz-,0.038355, 2 
6,Extrapolation,center,Light,xyz-,0.035572, 2 
6,Spring,center,Light,xyz-,0.074977, 2 
6,Baseline,center,Light,xyz-,0.057040, 2 
7,Displacement,center,Light,xyz-,0.043297, 2 
7,Extrapolation,center,Light,xyz-,0.038733, 2 
7,Spring,center,Light,xyz-,0.080367, 2 
7,Baseline,center,Light,xyz-,0.068147, 2 
8,Displacement,center,Light,xyz-,0.058398, 2 
8,Extrapolation,center,Light,xyz-,0.052598, 2 
8,Spring,center,Light,xyz-,0.092325, 2 
8,Baseline,center,Light,xyz-,0.087593, 2 
9,Displacement,center,Light,xyz-,0.060889, 2 
9,Extrapolation,center,Light,xyz-,0.054295, 2 
9,Spring,center,Light,xyz-,0.095534, 2 
9,Baseline,center,Light,xyz-,0.093875, 2 
10,Displacement,center,Light,xyz-,0.072862, 2 
10,Extrapolation,center,Light,xyz-,0.064920, 2 
10,Spring,center,Light,xyz-,0.106359, 2 
10,Baseline,center,Light,xyz-,0.108966, 2 
1,Displacement,center,Medium,xyz-,0.085688, 2 
1,Extrapolation,center,Medium,xyz-,0.076814, 2 
1,Spring,center,Medium,xyz-,0.119692, 2 
1,Baseline,center,Medium,xyz-,0.127212, 2 
2,Displacement,center,Medium,xyz-,0.095437, 2 
2,Extrapolation,center,Medium,xyz-,0.083547, 2 
2,Spring,center,Medium,xyz-,0.134376, 2 
2,Baseline,center,Medium,xyz-,0.144390, 2 
3,Displacement,center,Medium,xyz-,0.108248, 2 
3,Extrapolation,center,Medium,xyz-,0.095055, 2 
3,Spring,center,Medium,xyz-,0.151263, 2 
3,Baseline,center,Medium,xyz-,0.163266, 2 
4,Displacement,center,Medium,xyz-,0.120306, 2 
4,Extrapolation,center,Medium,xyz-,0.105612, 2 
4,Spring,center,Medium,xyz-,0.165291, 2 
4,Baseline,center,Medium,xyz-,0.180456, 2 
5,Displacement,center,Medium,xyz-,0.128044, 2 
5,Extrapolation,center,Medium,xyz-,0.110425, 2 
5,Spring,center,Medium,xyz-,0.173881, 2 
5,Baseline,center,Medium,xyz-,0.193414, 2 
6,Displacement,center,Medium,xyz-,0.123659, 2 
6,Extrapolation,center,Medium,xyz-,0.103485, 2 
6,Spring,center,Medium,xyz-,0.170127, 2 
6,Baseline,center,Medium,xyz-,0.193142, 2 
7,Displacement,center,Medium,xyz-,0.126734, 2 
7,Extrapolation,center,Medium,xyz-,0.105112, 2 
7,Spring,center,Medium,xyz-,0.174004, 2 
7,Baseline,center,Medium,xyz-,0.201196, 2 
8,Displacement,center,Medium,xyz-,0.138875, 2 
8,Extrapolation,center,Medium,xyz-,0.115433, 2 
8,Spring,center,Medium,xyz-,0.186223, 2 
8,Baseline,center,Medium,xyz-,0.217268, 2 
9,Displacement,center,Medium,xyz-,0.103883, 3 
9,Extrapolation,center,Medium,xyz-,0.078368, 3 
9,Spring,center,Medium,xyz-,0.142976, 3 
9,Baseline,center,Medium,xyz-,0.182551, 3 
10,Displacement,center,Medium,xyz-,0.126175, 3 
10,Extrapolation,center,Medium,xyz-,0.100009, 3 
10,Spring,center,Medium,xyz-,0.162611, 3 
10,Baseline,center,Medium,xyz-,0.205257, 3 
1,Displacement,center,Strong,xyz-,0.137292, 3 
1,Extrapolation,center,Strong,xyz-,0.107394, 3 
1,Spring,center,Strong,xyz-,0.177327, 3 
1,Baseline,center,Strong,xyz-,0.220702, 3 
2,Displacement,center,Strong,xyz-,0.150497, 3 
2,Extrapolation,center,Strong,xyz-,0.117759, 3 
2,Spring,center,Strong,xyz-,0.194874, 3 
2,Baseline,center,Strong,xyz-,0.236713, 3 
3,Displacement,center,Strong,xyz-,0.162739, 3 
3,Extrapolation,center,Strong,xyz-,0.129447, 3 
3,Spring,center,Strong,xyz-,0.211251, 3 
3,Baseline,center,Strong,xyz-,0.252375, 3 
4,Displacement,center,Strong,xyz-,0.163485, 3 
4,Extrapolation,center,Strong,xyz-,0.128561, 3 
4,Spring,center,Strong,xyz-,0.217743, 3 
4,Baseline,center,Strong,xyz-,0.255732, 3 
5,Displacement,center,Strong,xyz-,0.171321, 3 
5,Extrapolation,center,Strong,xyz-,0.134215, 3 
5,Spring,center,Strong,xyz-,0.228534, 3 
5,Baseline,center,Strong,xyz-,0.266712, 3 
6,Displacement,center,Strong,xyz-,0.169982, 3 
6,Extrapolation,center,Strong,xyz-,0.131113, 3 
6,Spring,center,Strong,xyz-,0.228432, 3 
6,Baseline,center,Strong,xyz-,0.268163, 3 
7,Displacement,center,Strong,xyz-,0.173546, 3 
7,Extrapolation,center,Strong,xyz-,0.135376, 3 
7,Spring,center,Strong,xyz-,0.231691, 3 
7,Baseline,center,Strong,xyz-,0.271254, 3 
8,Displacement,center,Strong,xyz-,0.183286, 3 
8,Extrapolation,center,Strong,xyz-,0.141669, 3 
8,Spring,center,Strong,xyz-,0.245319, 3 
8,Baseline,center,Strong,xyz-,0.284900, 3 
9,Displacement,center,Strong,xyz-,0.180932, 3 
9,Extrapolation,center,Strong,xyz-,0.137695, 3 
9,Spring,center,Strong,xyz-,0.243223, 3 
9,Baseline,center,Strong,xyz-,0.285024, 3 
10,Displacement,center,Strong,xyz-,0.186116, 3 
10,Extrapolation,center,Strong,xyz-,0.142990, 3 
10,Spring,center,Strong,xyz-,0.247588, 3 
10,Baseline,center,Strong,xyz-,0.291510, 3 
2,Displacement,center,Light,xz+,0.007063, 2 
2,Extrapolation,center,Light,xz+,0.039258, 2 
2,Spring,center,Light,xz+,0.078342, 2 
2,Baseline,center,Light,xz+,0.006261, 2 
