Run,Model,Location,Intensity,Direction,Error,Occlusions,Z-Movement
4,Extrapolation,center,Strong,xy,0.061893,3,False
4,Spring,center,Strong,xy,0.112513,3,False
4,Baseline,center,Strong,xy,0.118381,3,False
5,Displacement,center,Strong,xy,0.080412,3,False
5,Extrapolation,center,Strong,xy,0.061150,3,False
5,Spring,center,Strong,xy,0.103403,3,False
5,Baseline,center,Strong,xy,0.130970,3,False
6,Displacement,center,Strong,xy,0.074721,3,False
6,Extrapolation,center,Strong,xy,0.060375,3,False
6,Spring,center,Strong,xy,0.112002,3,False
6,Baseline,center,Strong,xy,0.132840,3,False
7,Displacement,center,Strong,xy,0.057366,4,False
7,Extrapolation,center,Strong,xy,0.044674,4,False
7,Spring,center,Strong,xy,0.098846,4,False
7,Baseline,center,Strong,xy,0.112167,4,False
8,Displacement,center,Strong,xy,0.051149,5,False
8,Extrapolation,center,Strong,xy,0.044825,5,False
8,Spring,center,Strong,xy,0.083933,5,False
8,Baseline,center,Strong,xy,0.101794,5,False
9,Displacement,center,Strong,xy,0.044473,5,False
9,Extrapolation,center,Strong,xy,0.035074,5,False
9,Spring,center,Strong,xy,0.094139,5,False
9,Baseline,center,Strong,xy,0.102255,5,False
10,Displacement,center,Strong,xy,0.047828,5,False
10,Extrapolation,center,Strong,xy,0.039251,5,False
10,Spring,center,Strong,xy,0.097922,5,False
10,Baseline,center,Strong,xy,0.104517,5,False
2,Displacement,center,Light,xyz+,0.024811,2,True
2,Extrapolation,center,Light,xyz+,0.019648,2,True
2,Spring,center,Light,xyz+,0.029229,2,True
2,Baseline,center,Light,xyz+,0.009572,2,True
3,Displacement,center,Light,xyz+,0.027065,2,True
3,Extrapolation,center,Light,xyz+,0.020714,2,True
3,Spring,center,Light,xyz+,0.031868,2,True
3,Baseline,center,Light,xyz+,0.013250,2,True
4,Displacement,center,Light,xyz+,0.033580,2,True
4,Extrapolation,center,Light,xyz+,0.025227,2,True
4,Spring,center,Light,xyz+,0.037625,2,True
4,Baseline,center,Light,xyz+,0.018210,2,True
5,Displacement,center,Light,xyz+,0.087010,2,True
5,Extrapolation,center,Light,xyz+,0.078449,2,True
5,Spring,center,Light,xyz+,0.092266,2,True
5,Baseline,center,Light,xyz+,0.073542,2,True
6,Displacement,center,Light,xyz+,0.036416,2,True
6,Extrapolation,center,Light,xyz+,0.025458,2,True
6,Spring,center,Light,xyz+,0.046118,2,True
6,Baseline,center,Light,xyz+,0.028938,2,True
7,Displacement,center,Light,xyz+,0.044103,2,True
7,Extrapolation,center,Light,xyz+,0.033178,2,True
7,Spring,center,Light,xyz+,0.055440,2,True
7,Baseline,center,Light,xyz+,0.044199,2,True
8,Displacement,center,Light,xyz+,0.045405,2,True
8,Extrapolation,center,Light,xyz+,0.033964,2,True
8,Spring,center,Light,xyz+,0.055471,2,True
8,Baseline,center,Light,xyz+,0.051731,2,True
9,Displacement,center,Light,xyz+,0.047440,2,True
9,Extrapolation,center,Light,xyz+,0.033691,2,True
9,Spring,center,Light,xyz+,0.055617,2,True
9,Baseline,center,Light,xyz+,0.058816,2,True
10,Displacement,center,Light,xyz+,0.048616,2,True
10,Extrapolation,center,Light,xyz+,0.034619,2,True
10,Spring,center,Light,xyz+,0.054896,2,True
10,Baseline,center,Light,xyz+,0.066581,2,True
1,Displacement,center,Medium,xyz+,0.053518,2,True
1,Extrapolation,center,Medium,xyz+,0.033631,2,True
1,Spring,center,Medium,xyz+,0.060425,2,True
1,Baseline,center,Medium,xyz+,0.081101,2,True
2,Displacement,center,Medium,xyz+,0.065555,2,True
2,Extrapolation,center,Medium,xyz+,0.045036,2,True
2,Spring,center,Medium,xyz+,0.069261,2,True
2,Baseline,center,Medium,xyz+,0.097167,2,True
3,Displacement,center,Medium,xyz+,0.066956,2,True
3,Extrapolation,center,Medium,xyz+,0.042406,2,True
3,Spring,center,Medium,xyz+,0.068701,2,True
3,Baseline,center,Medium,xyz+,0.104009,2,True
4,Displacement,center,Medium,xyz+,0.071560,2,True
4,Extrapolation,center,Medium,xyz+,0.047299,2,True
4,Spring,center,Medium,xyz+,0.067435,2,True
4,Baseline,center,Medium,xyz+,0.111673,2,True
5,Displacement,center,Medium,xyz+,0.075690,2,True
5,Extrapolation,center,Medium,xyz+,0.049582,2,True
5,Spring,center,Medium,xyz+,0.065602,2,True
5,Baseline,center,Medium,xyz+,0.122537,2,True
6,Displacement,center,Medium,xyz+,0.079005,2,True
6,Extrapolation,center,Medium,xyz+,0.046984,2,True
6,Spring,center,Medium,xyz+,0.063516,2,True
6,Baseline,center,Medium,xyz+,0.130560,2,True
7,Displacement,center,Medium,xyz+,0.093082,2,True
7,Extrapolation,center,Medium,xyz+,0.059470,2,True
7,Spring,center,Medium,xyz+,0.079201,2,True
7,Baseline,center,Medium,xyz+,0.147535,2,True
8,Displacement,center,Medium,xyz+,0.101713,2,True
8,Extrapolation,center,Medium,xyz+,0.065027,2,True
8,Spring,center,Medium,xyz+,0.086523,2,True
