Run,Model,Location,Intensity,Direction,Value,Occlusions
1,Extrapolation,center,Light,xyz-,0.021933, 2 
1,Spring,center,Light,xyz-,0.058926, 2 
2,Displacement,center,Light,xyz-,0.004579, 2 
2,Extrapolation,center,Light,xyz-,0.021526, 2 
2,Spring,center,Light,xyz-,0.056180, 2 
3,Displacement,center,Light,xyz-,0.008320, 2 
3,Extrapolation,center,Light,xyz-,0.021766, 2 
3,Spring,center,Light,xyz-,0.055344, 2 
4,Displacement,center,Light,xyz-,0.016020, 2 
4,Extrapolation,center,Light,xyz-,0.025590, 2 
4,Spring,center,Light,xyz-,0.057711, 2 
5,Displacement,center,Light,xyz-,0.024290, 2 
5,Extrapolation,center,Light,xyz-,0.030258, 2 
5,Spring,center,Light,xyz-,0.065267, 2 
6,Displacement,center,Light,xyz-,0.038355, 2 
6,Extrapolation,center,Light,xyz-,0.035572, 2 
6,Spring,center,Light,xyz-,0.074977, 2 
7,Displacement,center,Light,xyz-,0.043297, 2 
7,Extrapolation,center,Light,xyz-,0.038733, 2 
7,Spring,center,Light,xyz-,0.080367, 2 
8,Displacement,center,Light,xyz-,0.058398, 2 
8,Extrapolation,center,Light,xyz-,0.052598, 2 
8,Spring,center,Light,xyz-,0.092325, 2 
9,Displacement,center,Light,xyz-,0.060889, 2 
9,Extrapolation,center,Light,xyz-,0.054295, 2 
9,Spring,center,Light,xyz-,0.095534, 2 
10,Displacement,center,Light,xyz-,0.072862, 2 
10,Extrapolation,center,Light,xyz-,0.064920, 2 
10,Spring,center,Light,xyz-,0.106359, 2 
1,Displacement,center,Medium,xyz-,0.085688, 2 
1,Extrapolation,center,Medium,xyz-,0.076814, 2 
1,Spring,center,Medium,xyz-,0.119692, 2 
2,Displacement,center,Medium,xyz-,0.095437, 2 
2,Extrapolation,center,Medium,xyz-,0.083547, 2 
2,Spring,center,Medium,xyz-,0.134376, 2 
3,Displacement,center,Medium,xyz-,0.108248, 2 
3,Extrapolation,center,Medium,xyz-,0.095055, 2 
3,Spring,center,Medium,xyz-,0.151263, 2 
4,Displacement,center,Medium,xyz-,0.120306, 2 
4,Extrapolation,center,Medium,xyz-,0.105612, 2 
4,Spring,center,Medium,xyz-,0.165291, 2 
5,Displacement,center,Medium,xyz-,0.128044, 2 
5,Extrapolation,center,Medium,xyz-,0.110425, 2 
5,Spring,center,Medium,xyz-,0.173881, 2 
6,Displacement,center,Medium,xyz-,0.123659, 2 
6,Extrapolation,center,Medium,xyz-,0.103485, 2 
6,Spring,center,Medium,xyz-,0.170127, 2 
7,Displacement,center,Medium,xyz-,0.126734, 2 
7,Extrapolation,center,Medium,xyz-,0.105112, 2 
7,Spring,center,Medium,xyz-,0.174004, 2 
8,Displacement,center,Medium,xyz-,0.138875, 2 
8,Extrapolation,center,Medium,xyz-,0.115433, 2 
8,Spring,center,Medium,xyz-,0.186223, 2 
9,Displacement,center,Medium,xyz-,0.103883, 3 
